Hours since 00:00 Jan 1,Hourly Data: System power generated (kW)
0.5,145.188
1.5,231.357
2.5,223.441
3.5,163.102
4.5,249.387
5.5,197.887
6.5,219.227
7.5,150.172
8.5,134.182
9.5,134.182
10.5,194.986
11.5,113.963
12.5,163.395
13.5,122.127
14.5,72.1241
15.5,68.7977
16.5,46.2055
17.5,0
18.5,0
19.5,0
20.5,0
21.5,0
22.5,0
23.5,0
24.5,0
25.5,0
26.5,0
27.5,0
28.5,49.0032
29.5,66.0632
30.5,56.5099
31.5,97.3891
32.5,71.2921
33.5,0
34.5,0
35.5,34.491
36.5,120.223
37.5,103.546
38.5,41.0734
39.5,45.4653
40.5,49.6968
41.5,0
42.5,0
43.5,0
44.5,31.2927
45.5,79.6244
46.5,23.0043
47.5,0
48.5,0
49.5,0
50.5,0
51.5,36.6925
52.5,61.8196
53.5,86.8503
54.5,96.7573
55.5,89.1983
56.5,78.9024
57.5,12.1777
58.5,0
59.5,0
60.5,0
61.5,0
62.5,0
63.5,0
64.5,0
65.5,0
66.5,0
67.5,0
68.5,0
69.5,40.6896
70.5,111.133
71.5,145.882
72.5,209.713
73.5,323.079
74.5,377.064
75.5,411.387
76.5,454.114
77.5,419.56
78.5,326.455
79.5,342.94
80.5,392.569
81.5,227.786
82.5,195.795
83.5,218.811
84.5,192.798
85.5,172.222
86.5,166.163
87.5,186.794
88.5,175.366
89.5,158.886
90.5,300.221
91.5,384.882
92.5,525.037
93.5,448.978
94.5,486.864
95.5,410.743
96.5,412.377
97.5,422.666
98.5,425.934
99.5,268.157
100.5,273.063
101.5,458.68
102.5,468.165
103.5,407.127
104.5,536.318
105.5,483.733
106.5,262.842
107.5,195.589
108.5,245.558
109.5,243.537
110.5,215.022
111.5,216.6
112.5,217.225
113.5,184.82
114.5,617.403
115.5,631.899
116.5,461.15
117.5,495.989
118.5,357.938
119.5,319.223
120.5,254.503
121.5,207.215
122.5,179.28
123.5,144.193
124.5,163.296
125.5,138.083
126.5,174.598
127.5,185.076
128.5,165.097
129.5,63.8502
130.5,0
131.5,0
132.5,0
133.5,0
134.5,21.8696
135.5,76.6393
136.5,69.2726
137.5,116.863
138.5,341.527
139.5,598.183
140.5,631.427
141.5,529.383
142.5,666.639
143.5,626.499
144.5,628.612
145.5,494.096
146.5,393.031
147.5,337.14
148.5,375.726
149.5,357.789
150.5,288.433
151.5,231.59
152.5,180.128
153.5,226.523
154.5,191.671
155.5,315.164
156.5,385.941
157.5,358.689
158.5,353.365
159.5,298.611
160.5,268.87
161.5,264.858
162.5,565.372
163.5,737.316
164.5,459.483
165.5,622.196
166.5,447.873
167.5,368.44
168.5,272.621
169.5,234.381
170.5,159.796
171.5,239.844
172.5,272.978
173.5,197.381
174.5,204.018
175.5,245.52
176.5,378.927
177.5,149.031
178.5,66.6059
179.5,111.824
180.5,106.549
181.5,80.5321
182.5,10.6946
183.5,0
184.5,0
185.5,0
186.5,0
187.5,0
188.5,156.622
189.5,32.1872
190.5,151.351
191.5,511.443
192.5,355.209
193.5,380.139
194.5,385.016
195.5,359.765
196.5,252.769
197.5,292.385
198.5,372.78
199.5,292.746
200.5,243.313
201.5,239.651
202.5,224.165
203.5,259.454
204.5,279.69
205.5,558.103
206.5,671.137
207.5,615.858
208.5,608.422
209.5,393.881
210.5,431.805
211.5,337.449
212.5,554.604
213.5,907.129
214.5,705.224
215.5,476.66
216.5,461.566
217.5,294.877
218.5,194.315
219.5,213.052
220.5,239.146
221.5,199.52
222.5,154.817
223.5,104.517
224.5,57.1188
225.5,0
226.5,35.7945
227.5,0
228.5,0
229.5,0
230.5,0
231.5,106.453
232.5,226.343
233.5,173.34
234.5,501.425
235.5,741.153
236.5,645.027
237.5,1013.05
238.5,1251.67
239.5,1219.06
240.5,1158.49
241.5,628.726
242.5,996.686
243.5,657.466
244.5,786.239
245.5,952.215
246.5,417.576
247.5,1054.73
248.5,1009.92
249.5,1232.18
250.5,1251.67
251.5,1251.67
252.5,1251.67
253.5,1251.67
254.5,1251.67
255.5,1251.67
256.5,1251.67
257.5,513.458
258.5,451.431
259.5,747.896
260.5,402.137
261.5,630.828
262.5,653.194
263.5,834.575
264.5,777.961
265.5,659.3
266.5,310.66
267.5,357.685
268.5,255.977
269.5,131.119
270.5,123.629
271.5,87.156
272.5,84.7371
273.5,172.446
274.5,286.025
275.5,144.65
276.5,195.018
277.5,164.426
278.5,158.867
279.5,171.421
280.5,182.213
281.5,159.396
282.5,173.803
283.5,143.505
284.5,133.199
285.5,184.794
286.5,187.372
287.5,236.606
288.5,220.62
289.5,148.499
290.5,147.023
291.5,157.163
292.5,304.571
293.5,131.66
294.5,146.339
295.5,127.583
296.5,46.7566
297.5,122.801
298.5,4.74357
299.5,0
300.5,0
301.5,0
302.5,0
303.5,0
304.5,0
305.5,0
306.5,0
307.5,0
308.5,34.8248
309.5,61.3728
310.5,31.584
311.5,50.4263
312.5,53.1128
313.5,38.4531
314.5,63.3909
315.5,33.1288
316.5,36.5839
317.5,81.0445
318.5,62.399
319.5,16.4835
320.5,90.9704
321.5,73.9642
322.5,55.5552
323.5,37.3882
324.5,22.1685
325.5,32.4419
326.5,38.5768
327.5,72.5358
328.5,71.914
329.5,83.8461
330.5,170.315
331.5,141.983
332.5,79.1329
333.5,82.8761
334.5,0
335.5,0
336.5,0
337.5,0
338.5,0
