Location,Latitude,Longitude
r48,35.357835,-101.930215
r49,35.357835,-101.910512
r35,35.337576,-101.930215
r36,35.337576,-101.910512
r40,35.317317,-101.752894
r29,35.317317,-101.733192
r30,35.317317,-101.71349
r31,35.297058,-101.71349
r34,35.256541,-101.674085
r10,35.236282,-101.674085
r2,35.236282,-101.654383
r99,35.236282,-101.693788
r25,35.053952,-101.812001
r84,35.074211,-101.831703
r78,35.09447,-101.831703
r37,35.074211,-101.772597
r26,35.216023,-101.89081
r92,35.195764,-101.949917
r93,35.216023,-101.930215
r94,35.216023,-101.910512
ru,35.23, -101.79
j1,35.3, -101.831703
j2,35.175505, -101.851406
j3,35.33, -101.67
j4,35.114729, -101.95
j5,35.1, -101.69
j6,35.27, -101.85
j7,35.15, -101.7
j8,35.357835, -101.871108
