Hours since 00:00 Jan 1,Lifetime Hourly Data: System power generated (kW)
0.5,-0.019089
1.5,-0.019089
2.5,-0.019089
3.5,-0.019089
4.5,-0.019089
5.5,-0.019089
6.5,-0.019089
7.5,-0.019089
8.5,208.26
9.5,632.306
10.5,919.094
11.5,1097.16
12.5,1191.45
13.5,1178.84
14.5,1065.6
15.5,851.353
16.5,518.643
17.5,82.9342
18.5,-0.019089
19.5,-0.019089
20.5,-0.019089
21.5,-0.019089
22.5,-0.019089
23.5,-0.019089
24.5,-0.019089
25.5,-0.019089
26.5,-0.019089
27.5,-0.019089
28.5,-0.019089
29.5,-0.019089
30.5,-0.019089
31.5,-0.019089
32.5,221.217
33.5,635.494
34.5,928.15
35.5,1112.14
36.5,1199.82
37.5,1181.74
38.5,1060.86
39.5,845.065
40.5,516.263
41.5,89.4154
42.5,-0.019089
43.5,-0.019089
44.5,-0.019089
45.5,-0.019089
46.5,-0.019089
47.5,-0.019089
48.5,-0.019089
49.5,-0.019089
50.5,-0.019089
51.5,-0.019089
52.5,-0.019089
53.5,-0.019089
54.5,-0.019089
55.5,-0.019089
56.5,88.8448
57.5,480.257
58.5,887.586
59.5,1062.04
60.5,1138.59
61.5,1118.22
62.5,1002.11
63.5,795.156
64.5,437.47
65.5,28.7167
66.5,-0.019089
67.5,-0.019089
68.5,-0.019089
69.5,-0.019089
70.5,-0.019089
71.5,-0.019089
72.5,-0.019089
73.5,-0.019089
74.5,-0.019089
75.5,-0.019089
76.5,-0.019089
77.5,-0.019089
78.5,-0.019089
79.5,-0.019089
80.5,191.928
81.5,592.776
82.5,868.786
83.5,1053.02
84.5,1139.92
85.5,1126.8
86.5,1018
87.5,804.466
88.5,490.474
89.5,80.3918
90.5,-0.019089
91.5,-0.019089
92.5,-0.019089
93.5,-0.019089
94.5,-0.019089
95.5,-0.019089
96.5,-0.019089
97.5,-0.019089
98.5,-0.019089
99.5,-0.019089
100.5,-0.019089
101.5,-0.019089
102.5,-0.019089
103.5,-0.019089
104.5,194.776
105.5,609.12
106.5,888.034
107.5,1058.76
108.5,1134.35
109.5,1114.54
110.5,1000.38
111.5,797.884
112.5,499.26
113.5,92.7393
114.5,-0.019089
115.5,-0.019089
116.5,-0.019089
117.5,-0.019089
118.5,-0.019089
119.5,-0.019089
120.5,-0.019089
121.5,-0.019089
122.5,-0.019089
123.5,-0.019089
124.5,-0.019089
125.5,-0.019089
126.5,-0.019089
127.5,-0.019089
128.5,188.432
129.5,594.002
130.5,870.816
131.5,1048.4
132.5,1133.43
133.5,1121.92
134.5,708.194
135.5,515.929
136.5,328.243
137.5,26.4629
138.5,-0.019089
139.5,-0.019089
140.5,-0.019089
141.5,-0.019089
142.5,-0.019089
143.5,-0.019089
144.5,-0.019089
145.5,-0.019089
146.5,-0.019089
147.5,-0.019089
148.5,-0.019089
149.5,-0.019089
150.5,-0.019089
151.5,-0.019089
152.5,94.786
153.5,348.043
154.5,615.926
155.5,746.446
156.5,752.403
157.5,807.914
158.5,995.282
159.5,794.378
160.5,488.66
161.5,90.257
162.5,-0.019089
163.5,-0.019089
164.5,-0.019089
165.5,-0.019089
166.5,-0.019089
167.5,-0.019089
168.5,-0.019089
169.5,-0.019089
170.5,-0.019089
171.5,-0.019089
172.5,-0.019089
173.5,-0.019089
174.5,-0.019089
175.5,-0.019089
176.5,180.111
177.5,584.883
178.5,870.026
179.5,1052.71
180.5,1136.03
181.5,1119.52
182.5,1007.55
183.5,805.608
184.5,333.043
185.5,58.2407
186.5,-0.019089
187.5,-0.019089
188.5,-0.019089
189.5,-0.019089
190.5,-0.019089
191.5,-0.019089
192.5,-0.019089
193.5,-0.019089
194.5,-0.019089
195.5,-0.019089
196.5,-0.019089
197.5,-0.019089
198.5,-0.019089
199.5,-0.019089
200.5,175.334
201.5,580.937
202.5,872.483
203.5,1044.26
204.5,1126.7
205.5,1109.08
206.5,992.309
207.5,792.308
208.5,428.173
209.5,77.8239
210.5,-0.019089
211.5,-0.019089
212.5,-0.019089
213.5,-0.019089
214.5,-0.019089
215.5,-0.019089
216.5,-0.019089
217.5,-0.019089
218.5,-0.019089
219.5,-0.019089
220.5,-0.019089
221.5,-0.019089
222.5,-0.019089
223.5,-0.019089
224.5,7.1002
225.5,40.8416
226.5,120.904
227.5,140.626
228.5,279.809
229.5,598.761
230.5,341.32
231.5,213.155
232.5,333.114
233.5,103.13
234.5,-0.019089
235.5,-0.019089
236.5,-0.019089
237.5,-0.019089
238.5,-0.019089
239.5,-0.019089
240.5,-0.019089
241.5,-0.019089
242.5,-0.019089
243.5,-0.019089
244.5,-0.019089
245.5,-0.019089
246.5,-0.019089
247.5,-0.019089
248.5,209.823
249.5,629.818
250.5,925.828
251.5,1110.24
252.5,1191.39
253.5,1172.58
254.5,1062.16
255.5,856.264
256.5,548.536
257.5,118.255
258.5,-0.019089
259.5,-0.019089
260.5,-0.019089
261.5,-0.019089
262.5,-0.019089
263.5,-0.019089
264.5,-0.019089
265.5,-0.019089
266.5,-0.019089
267.5,-0.019089
268.5,-0.019089
269.5,-0.019089
270.5,-0.019089
271.5,-0.019089
272.5,81.304
273.5,393.376
274.5,677.211
275.5,875.627
276.5,918.917
277.5,897.9
278.5,838.867
279.5,776.823
280.5,475.86
281.5,94.4138
282.5,-0.019089
283.5,-0.019089
284.5,-0.019089
285.5,-0.019089
286.5,-0.019089
287.5,-0.019089
288.5,-0.019089
289.5,-0.019089
290.5,-0.019089
291.5,-0.019089
292.5,-0.019089
293.5,-0.019089
294.5,-0.019089
295.5,-0.019089
296.5,186.727
297.5,598.826
298.5,630.474
299.5,1073.51
300.5,1151.86
301.5,1135.98
302.5,1023.06
303.5,823.123
304.5,530.126
305.5,126.614
306.5,-0.019089
307.5,-0.019089
308.5,-0.019089
309.5,-0.019089
310.5,-0.019089
311.5,-0.019089
312.5,-0.019089
313.5,-0.019089
314.5,-0.019089
315.5,-0.019089
316.5,-0.019089
317.5,-0.019089
318.5,-0.019089
319.5,-0.019089
320.5,158.451
321.5,448.623
322.5,836.032
323.5,753.924
324.5,907.945
325.5,1082.85
326.5,988.812
327.5,812.158
328.5,533.242
329.5,133.494
330.5,-0.019089
331.5,-0.019089
332.5,-0.019089
333.5,-0.019089
334.5,-0.019089
335.5,-0.019089
336.5,-0.019089
337.5,-0.019089
338.5,-0.019089
339.5,-0.019089
340.5,-0.019089
341.5,-0.019089
342.5,-0.019089
343.5,-0.019089
